,movie,year,imdb
676,Human Nature,(2001),6.4
677,Tomcats,(2001),5.3
678,Storytelling,(2001),6.9
679,Sønnens værelse,(2001),7.4
680,Made,(2001),6.4
681,Conspiracy,(2001 TV Movie),7.8
682,Prozac Nation,(2001),6.3
683,Iris,(I) (2001),7.1
684,Manitou's Shoe,(2001),6.6
685,Out Cold,(2001),6.3
686,Monkeybone,(2001),4.7
687,Undeclared,(2001–2003),7.9
688,Ud af skabet,(2001),7.0
689,Lizzie McGuire,(2001–2004),6.6
690,Kissing Jessica Stein,(2001),6.6
691,The Accidental Spy,(2001),5.9
692,Dagon,(2001),6.3
693,Summer Catch,(2001),5.0
694,Tremors 3: Back to Perfection,(2001 Video),5.4
695,Pulse,(2001),6.6
696,What's the Worst That Could Happen?,(2001),5.5
697,Visitor Q,(2001),6.8
698,Son of the Bride,(2001),7.8
699,The Musketeer,(2001),4.7
700,Elling,(2001),7.6
701,Grounded for Life,(2001–2005),7.5
702,American Outlaws,(2001),6.0
703,Head Over Heels,(2001),5.4
704,61*,(2001 TV Movie),7.8
705,Pootie Tang,(2001),5.2
706,Replicant,(2001),5.4
707,The Amazing Race,(2001– ),7.6
708,Hellsing,(2001–2002),7.9
709,Sugar & Spice,(2001),5.6
710,Read My Lips,(2001),7.4
711,Avalon,(2001),6.5
712,Ashoka the Great,(2001),6.7
713,Grand Theft Auto III,(2001 Video Game),8.8
714,Intacto,(2001),6.9
715,Say It Isn't So,(2001),5.0
716,Reba,(2001–2007),6.5
717,Max Payne,(2001 Video Game),9.3
718,Corky Romano,(2001),4.7
719,Fortabt i Afrika,(2001),7.6
720,Nayak: The Real Hero,(2001),7.8
